real_patch,fake_patch,manipulation_type
2021_patch_0.npy,2021_patch_0_fake.npy,context_aware_copy_paste
2021_patch_1.npy,2021_patch_1_fake.npy,context_aware_copy_paste
2021_patch_10.npy,2021_patch_10_fake.npy,context_aware_copy_paste
2021_patch_11.npy,2021_patch_11_fake.npy,spectral_inconsistency
2021_patch_12.npy,2021_patch_12_fake.npy,spectral_inconsistency
2021_patch_13.npy,2021_patch_13_fake.npy,context_aware_copy_paste
2021_patch_14.npy,2021_patch_14_fake.npy,radiometric_distortion
2021_patch_15.npy,2021_patch_15_fake.npy,noise_injection
2021_patch_16.npy,2021_patch_16_fake.npy,radiometric_distortion
2021_patch_17.npy,2021_patch_17_fake.npy,spectral_inconsistency
2021_patch_18.npy,2021_patch_18_fake.npy,radiometric_distortion
2021_patch_19.npy,2021_patch_19_fake.npy,radiometric_distortion
2021_patch_2.npy,2021_patch_2_fake.npy,spectral_inconsistency
2021_patch_20.npy,2021_patch_20_fake.npy,radiometric_distortion
2021_patch_21.npy,2021_patch_21_fake.npy,noise_injection
2021_patch_22.npy,2021_patch_22_fake.npy,radiometric_distortion
2021_patch_23.npy,2021_patch_23_fake.npy,spectral_inconsistency
2021_patch_24.npy,2021_patch_24_fake.npy,noise_injection
2021_patch_25.npy,2021_patch_25_fake.npy,spectral_inconsistency
2021_patch_26.npy,2021_patch_26_fake.npy,spectral_inconsistency
2021_patch_27.npy,2021_patch_27_fake.npy,radiometric_distortion
2021_patch_28.npy,2021_patch_28_fake.npy,radiometric_distortion
2021_patch_29.npy,2021_patch_29_fake.npy,noise_injection
2021_patch_3.npy,2021_patch_3_fake.npy,spectral_inconsistency
2021_patch_30.npy,2021_patch_30_fake.npy,radiometric_distortion
2021_patch_31.npy,2021_patch_31_fake.npy,radiometric_distortion
2021_patch_32.npy,2021_patch_32_fake.npy,radiometric_distortion
2021_patch_33.npy,2021_patch_33_fake.npy,context_aware_copy_paste
2021_patch_34.npy,2021_patch_34_fake.npy,noise_injection
2021_patch_35.npy,2021_patch_35_fake.npy,noise_injection
2021_patch_36.npy,2021_patch_36_fake.npy,radiometric_distortion
2021_patch_37.npy,2021_patch_37_fake.npy,context_aware_copy_paste
2021_patch_38.npy,2021_patch_38_fake.npy,spectral_inconsistency
2021_patch_39.npy,2021_patch_39_fake.npy,context_aware_copy_paste
2021_patch_4.npy,2021_patch_4_fake.npy,noise_injection
2021_patch_40.npy,2021_patch_40_fake.npy,noise_injection
2021_patch_41.npy,2021_patch_41_fake.npy,spectral_inconsistency
2021_patch_42.npy,2021_patch_42_fake.npy,context_aware_copy_paste
2021_patch_43.npy,2021_patch_43_fake.npy,context_aware_copy_paste
2021_patch_44.npy,2021_patch_44_fake.npy,spectral_inconsistency
2021_patch_45.npy,2021_patch_45_fake.npy,context_aware_copy_paste
2021_patch_46.npy,2021_patch_46_fake.npy,spectral_inconsistency
2021_patch_47.npy,2021_patch_47_fake.npy,noise_injection
2021_patch_48.npy,2021_patch_48_fake.npy,noise_injection
2021_patch_49.npy,2021_patch_49_fake.npy,noise_injection
2021_patch_5.npy,2021_patch_5_fake.npy,spectral_inconsistency
2021_patch_6.npy,2021_patch_6_fake.npy,noise_injection
2021_patch_7.npy,2021_patch_7_fake.npy,context_aware_copy_paste
2021_patch_8.npy,2021_patch_8_fake.npy,noise_injection
2021_patch_9.npy,2021_patch_9_fake.npy,context_aware_copy_paste
2022_patch_50.npy,2022_patch_50_fake.npy,spectral_inconsistency
2022_patch_51.npy,2022_patch_51_fake.npy,noise_injection
2022_patch_52.npy,2022_patch_52_fake.npy,noise_injection
2022_patch_53.npy,2022_patch_53_fake.npy,spectral_inconsistency
2022_patch_54.npy,2022_patch_54_fake.npy,radiometric_distortion
2022_patch_55.npy,2022_patch_55_fake.npy,context_aware_copy_paste
2022_patch_56.npy,2022_patch_56_fake.npy,context_aware_copy_paste
2022_patch_57.npy,2022_patch_57_fake.npy,spectral_inconsistency
2022_patch_58.npy,2022_patch_58_fake.npy,radiometric_distortion
2022_patch_59.npy,2022_patch_59_fake.npy,radiometric_distortion
2022_patch_60.npy,2022_patch_60_fake.npy,radiometric_distortion
2022_patch_61.npy,2022_patch_61_fake.npy,context_aware_copy_paste
2022_patch_62.npy,2022_patch_62_fake.npy,radiometric_distortion
2022_patch_63.npy,2022_patch_63_fake.npy,context_aware_copy_paste
2022_patch_64.npy,2022_patch_64_fake.npy,spectral_inconsistency
2022_patch_65.npy,2022_patch_65_fake.npy,spectral_inconsistency
2022_patch_66.npy,2022_patch_66_fake.npy,radiometric_distortion
2022_patch_67.npy,2022_patch_67_fake.npy,context_aware_copy_paste
2022_patch_68.npy,2022_patch_68_fake.npy,noise_injection
2022_patch_69.npy,2022_patch_69_fake.npy,spectral_inconsistency
2022_patch_70.npy,2022_patch_70_fake.npy,radiometric_distortion
2022_patch_71.npy,2022_patch_71_fake.npy,context_aware_copy_paste
2022_patch_72.npy,2022_patch_72_fake.npy,context_aware_copy_paste
2022_patch_73.npy,2022_patch_73_fake.npy,noise_injection
2022_patch_74.npy,2022_patch_74_fake.npy,noise_injection
2022_patch_75.npy,2022_patch_75_fake.npy,context_aware_copy_paste
2022_patch_76.npy,2022_patch_76_fake.npy,noise_injection
2022_patch_77.npy,2022_patch_77_fake.npy,radiometric_distortion
2022_patch_78.npy,2022_patch_78_fake.npy,noise_injection
2022_patch_79.npy,2022_patch_79_fake.npy,spectral_inconsistency
2022_patch_80.npy,2022_patch_80_fake.npy,radiometric_distortion
2022_patch_81.npy,2022_patch_81_fake.npy,radiometric_distortion
2022_patch_82.npy,2022_patch_82_fake.npy,noise_injection
2022_patch_83.npy,2022_patch_83_fake.npy,noise_injection
2022_patch_84.npy,2022_patch_84_fake.npy,radiometric_distortion
2022_patch_85.npy,2022_patch_85_fake.npy,radiometric_distortion
2022_patch_86.npy,2022_patch_86_fake.npy,context_aware_copy_paste
2022_patch_87.npy,2022_patch_87_fake.npy,noise_injection
2022_patch_88.npy,2022_patch_88_fake.npy,noise_injection
2022_patch_89.npy,2022_patch_89_fake.npy,context_aware_copy_paste
2022_patch_90.npy,2022_patch_90_fake.npy,noise_injection
2022_patch_91.npy,2022_patch_91_fake.npy,context_aware_copy_paste
2022_patch_92.npy,2022_patch_92_fake.npy,radiometric_distortion
2022_patch_93.npy,2022_patch_93_fake.npy,spectral_inconsistency
2022_patch_94.npy,2022_patch_94_fake.npy,noise_injection
2022_patch_95.npy,2022_patch_95_fake.npy,noise_injection
2022_patch_96.npy,2022_patch_96_fake.npy,radiometric_distortion
2022_patch_97.npy,2022_patch_97_fake.npy,spectral_inconsistency
2022_patch_98.npy,2022_patch_98_fake.npy,noise_injection
2022_patch_99.npy,2022_patch_99_fake.npy,noise_injection
2023_patch_100.npy,2023_patch_100_fake.npy,noise_injection
