patch_path,label
data/patches/fake\2021_patch_18_fake.npy,1
data/patches/real\2023_patch_109.npy,0
data/patches/real\2021_patch_45.npy,0
data/patches/real\2021_patch_39.npy,0
data/patches/real\2021_patch_19.npy,0
data/patches/fake\2025_patch_200_fake.npy,1
data/patches/real\2021_patch_30.npy,0
data/patches/fake\2025_patch_224_fake.npy,1
data/patches/real\2025_patch_206.npy,0
data/patches/fake\2021_patch_24_fake.npy,1
data/patches/real\2024_patch_162.npy,0
data/patches/fake\2022_patch_99_fake.npy,1
data/patches/fake\2023_patch_105_fake.npy,1
data/patches/real\2021_patch_2.npy,0
data/patches/fake\2025_patch_219_fake.npy,1
data/patches/fake\2021_patch_11_fake.npy,1
data/patches/real\2023_patch_107.npy,0
data/patches/fake\2025_patch_233_fake.npy,1
data/patches/real\2023_patch_122.npy,0
data/patches/real\2021_patch_21.npy,0
data/patches/fake\2023_patch_107_fake.npy,1
data/patches/fake\2021_patch_14_fake.npy,1
data/patches/fake\2023_patch_144_fake.npy,1
data/patches/fake\2024_patch_155_fake.npy,1
data/patches/real\2021_patch_29.npy,0
data/patches/fake\2024_patch_167_fake.npy,1
data/patches/real\2021_patch_18.npy,0
data/patches/fake\2025_patch_227_fake.npy,1
data/patches/real\2022_patch_78.npy,0
data/patches/fake\2021_patch_39_fake.npy,1
data/patches/real\2025_patch_225.npy,0
data/patches/real\2021_patch_35.npy,0
data/patches/fake\2023_patch_137_fake.npy,1
data/patches/real\2021_patch_27.npy,0
data/patches/real\2025_patch_247.npy,0
data/patches/real\2022_patch_73.npy,0
data/patches/fake\2024_patch_186_fake.npy,1
data/patches/fake\2025_patch_222_fake.npy,1
data/patches/fake\2021_patch_26_fake.npy,1
data/patches/real\2022_patch_90.npy,0
data/patches/fake\2022_patch_68_fake.npy,1
data/patches/fake\2023_patch_102_fake.npy,1
data/patches/real\2024_patch_199.npy,0
data/patches/fake\2023_patch_117_fake.npy,1
data/patches/fake\2021_patch_45_fake.npy,1
data/patches/fake\2022_patch_88_fake.npy,1
data/patches/real\2024_patch_192.npy,0
data/patches/fake\2025_patch_235_fake.npy,1
data/patches/fake\2021_patch_23_fake.npy,1
data/patches/fake\2025_patch_241_fake.npy,1
data/patches/fake\2024_patch_175_fake.npy,1
data/patches/real\2024_patch_172.npy,0
data/patches/real\2022_patch_57.npy,0
data/patches/real\2022_patch_64.npy,0
data/patches/real\2025_patch_210.npy,0
data/patches/real\2025_patch_227.npy,0
data/patches/real\2025_patch_246.npy,0
data/patches/fake\2025_patch_239_fake.npy,1
data/patches/fake\2023_patch_111_fake.npy,1
data/patches/real\2023_patch_128.npy,0
data/patches/real\2021_patch_23.npy,0
data/patches/real\2024_patch_150.npy,0
data/patches/real\2023_patch_118.npy,0
data/patches/real\2024_patch_194.npy,0
data/patches/fake\2022_patch_78_fake.npy,1
data/patches/fake\2022_patch_70_fake.npy,1
data/patches/real\2022_patch_68.npy,0
data/patches/fake\2025_patch_237_fake.npy,1
data/patches/fake\2024_patch_198_fake.npy,1
data/patches/real\2024_patch_197.npy,0
data/patches/fake\2025_patch_229_fake.npy,1
data/patches/real\2022_patch_55.npy,0
data/patches/fake\2022_patch_62_fake.npy,1
data/patches/real\2024_patch_154.npy,0
data/patches/real\2022_patch_83.npy,0
data/patches/fake\2025_patch_214_fake.npy,1
data/patches/real\2022_patch_99.npy,0
data/patches/real\2024_patch_158.npy,0
